S No,Passion,Skill,Course/Degree,Institution,Training/Programme
521,Stand-up Comedy,Crop Management,B.Sc Agriculture,Indian Agricultural Research Institute,SWAYAM - Agriculture & Food Engineering
522,Renewable Energy,Solar Installation,Diploma Solar Technology,MNRE Approved Institutes (Dept. of CS),NPTEL - Solar Technician
523,Blockchain Technology,Studio Operations,Diploma TV Production,Asian Academy of Film,NSDC - TV Production (Certificate)
524,Fisheries,Structural Design + Solid Waste,M.Tech Structural,Anna University,SWAYAM - Construction Skills
525,Chess Training,Chess Coaching - Intermediate,Certificate Chess Coaching,All India Chess Federation,NPTEL - AICF Arbiter Course
526,Welding,Dubbing,Certificate Voice Acting - Specialization,Anjali Dubbing Studios,SWAYAM - Voice Over Artist
527,Hotel Management,Applied Food & Beverage,BHM,IHM Delhi,SWAYAM - F&B Service Training
528,Cybersecurity,Machine Learning,M.Tech CSE (Honours),Punjabi University,Simplilearn - Machine Learning Specialization
529,Data Science,Data Analysis,B.Sc Computer Science (Honours),IGEP Ahmedabad,Google - Data Analysis Specialization
530,Zoology,Wildlife Biology,M.Sc Zoology,Delhi University,WWF Wildlife Training
531,Mathematics,Hands-on Pure Mathematics,B.Sc Mathematics,St. Stephens College,Udemy - Mathematics
532,Digital Marketing,Social Media Marketing,MBA Marketing,IIM Bangalore,PMKVY - Digital Marketing
533,DevOps,Practical Live Sound,Certificate Audio Engineering,Delhi Technological University,NPTEL - Sound Engineering
534,Electrical Engineering,Arabic Calligraphy,Workshop Calligraphy,Jamia Hamdard,Google - Traditional Arts
535,DevOps,Machine Learning,B.Tech Electronics - Specialization,SNDT Mumbai,Google - Machine Learning Specialization
536,Siddha Medicine,Essential Oils,Certificate Aromatherapy,ISWA Bangalore (Dept. of CS),Udemy - Aromatherapist
537,Journalism,Print Journalism,B.A Journalism,Delhi University,NPTEL - Media Studies
538,Criminology,Criminal Psychology,M.A Criminology,TISS Mumbai,NPTEL - Criminology
539,Pottery,Organic Farming,M.Sc Agriculture,Punjab Agricultural University,edX - Agriculture Skills
540,Industrial Safety,Occupational Health,B.Tech Industrial Safety (Honours),University of Petroleum,Microsoft Learn - Safety Engineering
541,Meteorology,Climate Science,M.Sc Meteorology,IIT Delhi,NPTEL - Atmospheric Science
542,Drones,GST Compliance - Essentials,PG Diploma Tax Law,ICAI Regional Offices (Dept. of CS),SWAYAM - GST & Taxation
543,Stand-up Comedy,Social Research,B.A Sociology,Delhi School of Economics (Dept. of CS),NPTEL - Introduction to Sociology
544,Pharmacy,Concepts of AWS,B.Tech IT - Specialization,VIT Vellore,AWS Cloud Technical Essentials
545,Tattoo Art,Permanent Makeup,Diploma Tattoo Art,Government Recognized Centers,PMKVY - Beautician Training
546,Mathematics,Contemporary Dance + Siddha Practice,Certificate Contemporary (Honours),Attakkalari Centre Bangalore,NSDC - Dance Training
547,Patent Law,Concepts of Livestock Management,M.V.Sc (Honours),BITS Pilani,PMKVY - Animal Husbandry
548,Leather Work,Leather Crafting + Data Analytics,ITI Leather Goods Making,Government ITI,NPTEL - Leather Goods Maker
549,Quantum Computing,Music Composition + Gas Welding,Diploma Music (Honours),AR Rahman Music Academy,SWAYAM - Music Fundamentals
550,Software Development,Web Development,BCA,Delhi University,SWAYAM - Web Development Fundamentals
551,Biology,Ecology,M.Sc Biology,JNU Delhi,SWAYAM - Environmental Biology
552,Welding,Arc Welding,ITI Welding,Government ITI,SWAYAM - Welder Training
553,Physical Education,Chess Coaching,Certificate Chess Coaching,All India Chess Federation,Simplilearn - AICF Arbiter Course
554,Medical Lab Technology,Pathology,Diploma MLT,IGNOU,NSDC - Laboratory Skills
555,Product Management,Data Analysis,Diploma in AI & ML - Specialization,NSDC Training Centers,Microsoft Learn - Data Analysis Specialization
556,Fashion Design,Concepts of Naturopathy,BNYS (Honours),SDM College of Naturopathy,Udemy - Government Naturopathy Programs
557,Stand-up Comedy,Intro to Personal Training,Diploma Fitness,K11 School of Fitness,NSDC - Fitness Training (Certificate)
558,Cosmetology,Biomass Energy,M.Tech Renewable Energy - Specialization,Anna University,MNRE Biomass Training
559,Robotics,Automation,M.Tech Mechatronics,PSG College of Technology,PMKVY - Industrial Automation
560,Sericulture,Silkworm Rearing - Intermediate,Diploma Sericulture,Central Silk Board,PMKVY - Silk Farming
561,Audio Engineering,Music Production,Diploma Audio Engineering,KM Music Conservatory,PMKVY - Audio Technician
562,Bioinformatics,Foot Reflexology,B.Sc Tourism,Films Division India,SWAYAM - Information Science
563,Masonry,Organizational Development - Advanced,MBA HR,XLRI Jamshedpur,Google - HR Skills
564,Artificial Intelligence,Web Development,BCA (Honours),NDRI Karnal,Coursera - Web Development Specialization
565,Embedded Systems,Data Analysis,M.Tech CSE,RCI Approved Institutes,SWAYAM - Data Analysis Specialization
566,Labor Law,Electric Vehicles,M.Tech Automobile,BITS Pilani,SWAYAM - Automobile Technician
567,Siddha Medicine,Quantum Algorithms - Essentials,M.Tech Quantum Computing,IIT BHU,Coursera - Quantum Computing
568,Sports Science,Silk Production + Editorial,B.Sc Sericulture,University of Agricultural Sciences,NSDC - Sericulture Training
569,Mechanical Engineering,Drug Discovery,M.Pharm Pharmaceutics,SRM Institute,Google - Pharmaceutical Sciences
570,Radiology,CT/MRI Technology,Diploma Radiology,IGNOU,Government Hospital Training
571,Electrical Engineering,Renewable Energy,M.Tech Power,NIT Surathkal,PMKVY - Solar Technician Training
572,Literature,English Literature,B.A English,Presidency College Chennai,NPTEL - Literature & Culture
573,Software Development,Cloud Computing,B.Tech Information Technology - Specialization,Pearl Academy,Microsoft Learn - Cloud Computing Specialization
574,Renewable Energy,Solar Installation,Diploma Solar Technology,MNRE Approved Institutes,PMKVY - Solar Technician
575,Real Estate,Property Management - Intermediate,BBA Real Estate,RICS School of Built Environment,NSDC - Real Estate Skills
576,Fisheries,Foot Reflexology,Certificate Reflexology (Honours),VLCC Institute,edX - Wellness Therapist
577,Dance,Classical Dance,Diploma Bharatanatyam,Kalakshetra Chennai,Sangeet Natak Akademi
578,Cosmetology,Travel Management - Basics,B.Sc Tourism - Specialization,IGNOU,NPTEL - Tourism Management
579,Social Work,Child Welfare,MSW - Specialization,Delhi School of Social Work,NSDC - Social Sector Skills (Certificate)
580,Nursing,360 Video Production,Diploma VR - Specialization,Arena Animation,NPTEL - VR Content Creation
581,Mobile Development,Logistics - Basics,BBA Logistics,Symbiosis Pune,Microsoft Learn - Supply Chain Management
582,Music,Carnatic Music,Certificate Music,Chennai Music Academy,Government Music Programs
583,Geology,Construction Work,ITI Masonry,Madras Christian College,PMKVY - Mason Training
584,Chemical Engineering,Practical Creative Writing,B.A English,St. Stephens College (Dept. of CS),Coursera - Creative Writing (Certificate)
585,Automobile Engineering,Editorial,MA Publishing,Symbiosis Pune,Pluralsight - Publishing Studies
586,Tattoo Art,Essential Oils - Basics,Certificate Aromatherapy,ISWA Bangalore,PMKVY - Aromatherapist
587,Mass Communication,Ethics + Non-Fiction,B.A Philosophy,St. Stephens College (Dept. of CS),SWAYAM - Philosophy
588,Poultry Science,Hatchery Management - Professional,Diploma Poultry,CARI Bareilly,NSDC - Poultry Skills
589,Yoga Therapy,Therapeutic Yoga,B.Sc Yoga Therapy,Swami Vivekananda Yoga University,AYUSH Yoga Programs
590,Leather Work,Leather Crafting,ITI Leather Goods Making,Government ITI,PMKVY - Leather Goods Maker
591,Aerospace Engineering,Aerodynamics - Intermediate,M.Tech Aerospace (Honours),IIT Madras,NSDC - Aviation Maintenance
592,Tourism,Drug Discovery,M.Pharm Pharmaceutics,NIPER Mohali,NPTEL - Pharmaceutical Sciences
593,DevOps,Embedded C,B.Sc Computer Science - Specialization,Indian Institute of Journalism,Pluralsight - Embedded C Specialization
594,Yoga Therapy,Aquaculture,B.F.Sc (Honours),Central Institute of Fisheries Education,edX - Fisheries Training
595,Tattoo Art,Homeopathy,BHMS (Honours),National Institute of Homoeopathy,Microsoft Learn - AYUSH Training Programs
596,Cosmetology,Makeup Artistry,Diploma Cosmetology,Lakme Academy,NSDC - Beauty & Wellness
597,Stock Market Trading,Radio Programming - Basics,Diploma Radio - Specialization,Indian Institute of Mass Communication,NPTEL - Radio Broadcasting
598,Linguistics,Translation Studies,M.A Linguistics (Honours),JNU Delhi,Google - Government Translation Programs
599,Marine Science,Concepts of Karate Training,Black Belt Karate - Specialization,Karate Federation of India (Dept. of CS),Udemy - Martial Arts Instructor
600,Criminology,Drug Development,B.Pharm,SRM Institute,NPTEL - Pharmaceutical Chemistry
601,Aviation,Pilot Training,Commercial Pilot License,Indira Gandhi Rashtriya Uran Akademi,DGCA Approved Training
602,Medical Biotechnology,Tissue Engineering,PhD Biotechnology,IIT Kharagpur,SWAYAM - Biomedical Engineering
603,Mobile Development,Java Development,B.Tech Computer Science,IIT Delhi,Microsoft Learn - Java Programming Specialization
604,Artificial Intelligence,Web Development,M.Sc Data Science (Honours),Narsee Monjee College,Google - Web Development Specialization
605,Mass Communication,Story Boarding,Certificate Comics (Honours),Toonz Animation Academy,PMKVY - Animation Art
606,Video Editing,Fitness Training + Livestock Management,M.P.Ed (Honours),Punjabi University Patiala,PMKVY - Fitness Trainer
607,Library Science,Digital Archives,M.Lib.Sc,University of Mumbai,SWAYAM - Information Science
608,Forensic Science,Digital Forensics,PG Diploma Cyber Forensics,LNJN NICFS Delhi,NSDC - Forensic Training
609,Comic Book Art,UAV Operations,Diploma Drone Technology,Drone Destination,SWAYAM - DGCA Remote Pilot License
610,Martial Arts,Taekwondo,Black Belt Taekwondo,Taekwondo Federation India,Microsoft Learn - Self Defense Trainer
611,DevOps,CI/CD Pipeline,B.Tech IT,Manipal Institute of Technology,PMKVY - DevOps Training
612,Public Health,VLSI Design - Intermediate,B.Tech ECE - Specialization,IIT Delhi,SWAYAM - VLSI Design
613,DevOps,Python Programming,BCA (Honours),IRMA Anand,Coursera - Python Programming Specialization
614,Rural Development,Python & SQL + Translation Studies,MCA,IIT BHU,SWAYAM - Database Management Systems
615,Zoology,Practical Landscape Design,M.Sc Horticulture,University of Agricultural Sciences,Government Agriculture Programs
616,Interpretation,Concepts of Simultaneous Interpretation,Certificate Interpretation - Specialization,CIIL Mysore,Government Translation Services
617,Carpentry,Intro to Unity 3D,B.Sc Computer Science,SRM University,Coursera - Game Design & Development
618,Reflexology,Tour Operations,Diploma Tourism - Specialization,IHM Goa,NSDC - Travel & Tourism (Certificate)
619,Business Management,Crop Management - Essentials,B.Sc Agriculture - Specialization,Indian Agricultural Research Institute,NPTEL - Agriculture & Food Engineering (Certificate)
620,Sociology,Social Research,B.A Sociology,Delhi School of Economics,NPTEL - Introduction to Sociology
621,Dance,Solid Waste,Certificate Waste Management - Specialization,SAAHAS Bangalore,NSDC - Waste Management
622,Aerospace Engineering,Aircraft Design,B.Tech Aerospace,IIT Kanpur,NPTEL - Aerospace Engineering
623,Pharmaceutical Science,Genetic Engineering + EV Design,B.Tech Biotechnology,IIT Kharagpur,NPTEL - Biotechnology
624,Economics,Economic Policy,B.A Economics,Delhi School of Economics,NPTEL - Microeconomics
625,Hotel Management,Hospitality Management,BHM,IHM Mumbai,NSDC - Hospitality Skills
626,Software Development,Cloud Computing,B.Tech Electronics - Specialization,BITS Pilani,Coursera - Cloud Computing Specialization
627,Criminology,Criminal Justice,LLM Criminal Law,NLSIU Bangalore,SWAYAM - Criminal Justice
628,Library Science,Big Data Analytics + Community Planning,PG Diploma Big Data,IIT Guwahati,PMKVY - Big Data Training
629,Finance,Therapeutic Yoga,B.Sc Yoga Therapy - Specialization,Swami Vivekananda Yoga University,SWAYAM - AYUSH Yoga Programs
630,Numerology,Natural Language Processing,M.Tech NLP,Indian Institute of Technology Bombay,SWAYAM - AI & ML
631,Nanotechnology,Advanced Materials - Basics,M.Tech Materials Science (Honours),IIT Kanpur (Dept. of CS),Coursera - Materials Science
632,Data Science,Python Programming,B.Tech Electronics - Specialization,NIT Trichy,Microsoft Learn - Python Programming Specialization
633,Interpretation,Hands-on Court Interpretation,Diploma Interpretation,High Court Training Programs,Microsoft Learn - Legal Interpretation
634,Teaching,Secondary Education,M.Ed - Specialization,Jamia Millia Islamia,NPTEL - Teaching Skills
635,Archaeology,Wood Working - Basics,ITI Carpentry (Honours),Government ITI,Google - Carpenter Training
636,Medical Biotechnology,Hands-on GST Compliance,PG Diploma Tax Law,IIT Roorkee,SWAYAM - GST & Taxation
637,Hotel Management,Food & Beverage,BHM,IHM Delhi,PMKVY - F&B Service Training
638,Cybersecurity,Drug Discovery - Basics,M.Pharm Pharmaceutics,Vellore Institute of Technology,NPTEL - Pharmaceutical Sciences
639,Documentary Making,Network Penetration,Advanced Diploma Cybersecurity,Indian Cyber Security Solutions,Udemy - Cybersecurity Training
640,Banking Law,Securities Law + Organic Chemistry,PG Diploma Securities Law,NISM Mumbai,NISM Certifications (Certificate)
641,Astrology,Performance - Intermediate,Certificate Comedy - Specialization,Canvas Laugh Club,NSDC - Entertainment Skills
642,Software Development,Data Analysis,Diploma in AI & ML - Specialization,NAEMD Mumbai,Google - Data Analysis Specialization
643,Carpentry,Furniture Making,Diploma Carpentry,NSDC Training Centers,NSDC - Carpentry Skills
644,Urban Planning,City Development - Fundamentals,M.Plan Urban Planning (Honours),SPA Delhi,Udemy - Urban Planning
645,Radiology,Clinical Nutrition - Advanced,B.Sc Nutrition,Lady Irwin College,Pluralsight - Nutrition & Dietetics
646,Waste Management,Siddha Practice,BSMS - Specialization,Government Siddha Medical College,NPTEL - AYUSH Siddha Programs
647,Radiology,Concepts of Wildlife Photography,Certificate Photography,National Geographic India (Dept. of CS),Coursera - WWF Photography Workshop
648,Banking,Retail Banking - Intermediate,B.Com Banking (Honours),University of Hyderabad,PMKVY - Banking Operations
649,Robotics,Bowling Techniques,Certificate Cricket Coaching - Specialization,State Cricket Associations,Microsoft Learn - Sports Coach
650,Medical Biotechnology,Naturopathy,BNYS (Honours),SDM College of Naturopathy,SWAYAM - Government Naturopathy Programs
651,Documentary Making,Social Documentary,Workshop Documentary,Films Division India,NSDC - Documentary Production
652,Fine Arts,Risk Analysis,B.Sc Actuarial Science,Christ University,edX - Institute of Actuaries of India
653,Film Making,IP Rights,LLM IP Law (Honours),NALSAR Hyderabad,NPTEL - Intellectual Property Rights (Certificate)
654,Food Technology,Drug Discovery,M.Pharm Pharmaceutics,NIPER Mohali,NPTEL - Pharmaceutical Sciences
655,Plumbing,Translation Studies,M.A Linguistics,JNU Delhi,Government Translation Programs
656,Space Technology,Jewelry Making - Intermediate,Diploma Handicrafts (Honours),Jewelry Training Centers,NSDC - Gem & Jewelry (Certificate)
657,Artificial Intelligence,Python Programming,B.Tech Electronics - Specialization,Delhi School of Social Work,Google - Python Programming Specialization
658,Geology,YouTube Content - Professional,Certificate Video Editing,Arena Animation,Adobe Premiere Pro Training
659,Environmental Law,Pollution Control,PG Diploma Environmental Law,SLS Pune,SWAYAM - Environmental Regulations
660,Leather Work,Visual Merchandising - Professional,MBA Retail,IIT Guwahati,Simplilearn - Retail Sales Associate
661,Microbiology,Medical Microbiology,M.Sc Microbiology,Delhi University,NPTEL - Microbiology
662,Data Science,Python Programming,M.Tech CSE (Honours),IHM Bangalore,Pluralsight - Python Programming Specialization
663,Food Technology,Hands-on Molecular Biology,Workshop Writing (Honours),IIM Lucknow,edX - Ethical Hacking
664,Cybersecurity,Web Development,BCA (Honours),Institute of Archaeology Delhi,Simplilearn - Web Development Specialization
665,E-commerce,Marketplace Management,MBA E-commerce,NMIMS Mumbai,Google Digital Garage
666,Embedded Systems,NLP,MBA (IT),Patanjali Yogpeeth,Pluralsight - NLP Specialization
667,Robotics,Hands-on Robot Programming,B.Tech Robotics,Manipal University,NPTEL - Robotics
668,Theatre Arts,Direction,PG Diploma Theatre,FTII Pune,SWAYAM - Performing Arts
669,Software Development,Machine Learning,BCA (Honours),Vellore Institute of Technology,Pluralsight - Machine Learning Specialization
670,Automobile Engineering,Electric Vehicles + Bioinformatics,M.Tech Automobile,BITS Pilani (Dept. of CS),Microsoft Learn - Automobile Technician
671,Data Science,Embedded C,B.Tech Information Technology - Specialization,ISWA Bangalore,edX - Embedded C Specialization
672,Unani Medicine,Herbal Medicine + Hair Styling,MD Unani,Hamdard University,Government Unani Training
673,Biotechnology,Automation - Advanced,M.Tech Mechatronics,PSG College of Technology (Dept. of CS),Microsoft Learn - Industrial Automation
674,Environmental Law,Pollution Control,PG Diploma Environmental Law,SLS Pune,Microsoft Learn - Environmental Regulations
675,Insurance,Actuarial Science,M.Sc Actuarial Science,Institute of Actuaries India,NSDC - Insurance Skills
676,Chemistry,Analytical Chemistry,M.Sc Chemistry,IIT Madras,SWAYAM - Chemical Sciences
677,Pharmacy,Clinical Pharmacy,M.Pharm,NIPER Mohali,PMKVY - Pharmacy Technician Course
678,Physiotherapy,Silkworm Rearing + Dairy Products,Diploma Sericulture,Central Silk Board,NPTEL - Silk Farming
679,Copywriting,Advertising Copy - Professional,Certificate Copywriting,Mudra Institute of Communications,Google Digital Marketing (Certificate)
680,Physics,Handloom Weaving,Diploma Textiles,National Institute of Fashion Technology,Udemy - PM Vishwakarma Scheme
681,Mathematics,Industrial Wiring,Diploma Electrical,NSDC Training Centers,NSDC - Electrical Skills
682,Augmented Reality,Concepts of Cinematography,M.A Film Making - Specialization,IIT Kharagpur,NSDC - Media & Entertainment (Certificate)
683,Embedded Systems,Cloud Computing,M.Sc Data Science,Hamdard University,Google - Cloud Computing Specialization
684,Numerology,Name Analysis,Workshop Numerology,All India Federation of Astrologers,SWAYAM - Alternative Sciences
685,Aromatherapy,Illustration,Diploma Comics,Arena Animation,NSDC - Illustration Skills
686,Physical Education,Fitness Training,M.P.Ed,Punjabi University Patiala,PMKVY - Fitness Trainer
687,Stand-up Comedy,Smart Cities + Food Processing,PG Diploma Urban Planning,CEPT Ahmedabad (Dept. of CS),NSDC - Urban Planning Skills
688,Data Science,Machine Learning,MBA (IT) (Honours),Swimming Federation of India,Udemy - Machine Learning Specialization
689,Textile Design,Concepts of Industrial Relations,LLM Labor Law (Honours),Madras Christian College,NPTEL - Labour Laws
690,Aerospace Engineering,Brand Design - Professional,M.Des Graphic Design - Specialization,MIT Institute of Design,Adobe Creative Cloud Training
691,Cybersecurity,Python Programming,MBA (IT),SPA Delhi,NPTEL - Python Programming Specialization
692,Embedded Systems,Data Analysis,B.Sc Computer Science - Specialization,Visva Bharati University,Coursera - Data Analysis Specialization
693,Data Science,Water Quality Testing + Organic Farming,Certificate Water Testing,NEERI Nagpur,Microsoft Learn - Water Quality Tester
694,Spa Management,Ayurveda Therapy,Certificate Ayurveda - Specialization,Arya Vaidya Sala,Government Ayush Programs
695,Electronics Engineering,Criminal Law + Diagnostics,LLM,NALSAR Hyderabad,SWAYAM - Legal Studies
696,Dentistry,3D Animation,B.Sc Animation - Specialization,Arena Animation (Dept. of CS),Simplilearn - Animation & VFX
697,Copywriting,Applied Solar Installation,Diploma Solar Technology (Honours),MNRE Approved Institutes,edX - Solar Technician
698,Audio Engineering,Illustration + Unreal Engine,Diploma Comics,Arena Animation,NSDC - Illustration Skills
699,Fine Arts,Tissue Engineering,PhD Biotechnology,IIT Kharagpur,SWAYAM - Biomedical Engineering
700,Forestry,Wildlife Conservation,B.Sc Forestry,Forest Research Institute,WWF Conservation Programs
701,Data Science,Hands-on Python & SQL,MCA - Specialization,NIT Trichy,SWAYAM - Database Management Systems
702,Chess Training,Advanced Materials + Computer Vision,M.Tech in Materials Science,IIT Kanpur,NPTEL - Materials Science
703,Event Management,CAD Design,B.Tech Mechanical,IIT Bombay,Simplilearn - Engineering Drawing
704,Music Production,CAD Design,B.Tech Mechanical - Specialization,IIT Bombay,NPTEL - Engineering Drawing
705,Augmented Reality,Robot Programming - Basics,B.Tech Robotics,Manipal University,SWAYAM - Robotics
706,Pharmaceutical Science,Wildlife Biology,M.Sc Zoology (Honours),BITS Pilani,SWAYAM - WWF Wildlife Training
707,Fisheries,Marine Biology,M.F.Sc,Kerala University of Fisheries,PMKVY - Aquaculture Training
708,Animation,Visual Effects,M.Sc Animation,Framebotics Academy,PMKVY - Animation Training
709,Translation,Intro to Construction Management,B.Tech Civil (Honours),IIT Madras (Dept. of CS),Udemy - Construction Planning
710,Waste Management,Solid Waste,Certificate Waste Management (Honours),SAAHAS Bangalore,NSDC - Waste Management
711,Biology,Fitness Training + Furniture Making,M.P.Ed,Punjabi University Patiala,PMKVY - Fitness Trainer
712,Law,Criminal Law,LLM,NALSAR Hyderabad (Dept. of CS),Google - Legal Studies
713,Botany,Honey Production - Basics,Diploma Apiculture,National Bee Board,NSDC - Beekeeping Training
714,Disaster Management,Space Planning,B.Des Interior Design,NIFT Delhi,Google - Interior Designer Training
715,Quantum Computing,Book Design + Gas Welding,PG Diploma Publishing - Specialization,University of Mumbai,Microsoft Learn - Print Media
716,Reflexology,Foot Reflexology,Certificate Reflexology,VLCC Institute,PMKVY - Wellness Therapist
717,Graphic Design,Digital Illustration,B.Des Graphic Design,NID Ahmedabad,NPTEL - Design Thinking
718,Bioinformatics,GST Compliance - Intermediate,PG Diploma Tax Law - Specialization,ICAI Regional Offices,SWAYAM - GST & Taxation
719,Cloud Computing,AWS,B.Tech IT,VIT Vellore,AWS Cloud Technical Essentials (Certificate)
720,Software Development,Python Programming,B.Tech Computer Science,IIT Bombay,NPTEL - Programming in Python
721,Retail Management,Contemporary Dance - Intermediate,Certificate Contemporary,Attakkalari Centre Bangalore,NSDC - Dance Training
722,Stand-up Comedy,Performance,Certificate Comedy,Canvas Laugh Club,NSDC - Entertainment Skills
723,E-commerce,Online Business,BBA E-commerce - Specialization,Christ University,Pluralsight - E-commerce Operations
724,Poultry Science,Translation Studies,M.A Linguistics (Honours),JNU Delhi,Government Translation Programs
725,Medical Lab Technology,Hand Lettering - Essentials,Certificate Calligraphy,National Institute of Design,PM Vishwakarma Scheme (Certificate)
726,Banking Law,Concepts of Securities Law,PG Diploma Securities Law (Honours),Madras Christian College,NISM Certifications (Certificate)
727,Poultry Science,Poultry Farming,B.Sc Poultry Science,Kerala Veterinary University,PMKVY - Poultry Farming
728,Painting,Industrial Painting,Diploma Painting,NSDC Training Centers,NSDC - Painting Skills
729,Nursing,Intro to Curation,PG Diploma Museum Studies,BITS Pilani,SWAYAM - Government Heritage Programs
730,Waste Management,Hands-on Furniture Design,M.Des Interior Design,NID Ahmedabad,Google - Design Fundamentals
731,Food Technology,Concepts of Real Estate Development,MBA Real Estate,NICMAR Pune,SWAYAM - Real Estate Training
732,Artificial Intelligence,AWS - Fundamentals,B.Tech IT,VIT Vellore,AWS Cloud Technical Essentials
733,Plumbing,Space Science,M.Sc Space Science,Physical Research Laboratory (Dept. of CS),Pluralsight - Satellite Technology
734,Internet of Things,Embedded Systems + Secondary Education,B.Tech ECE,IIT Kharagpur,SWAYAM - Introduction to IoT (Certificate)
735,Human Resources,Sports Nutrition + Marine Conservation,B.Sc Sports Science,IIT Roorkee,edX - Sports Nutrition
736,Insurance,Strategic Management,MBA,IIM Ahmedabad,SWAYAM - Business Strategy
737,Agriculture,Genetic Engineering + Industrial Relations,B.Tech Biotechnology,Indian Institute of Technology Kharagpur,NPTEL - Biotechnology (Certificate)
738,Nursing,Critical Care,M.Sc Nursing,AIIMS Delhi,Red Cross Nursing Workshop
739,Blockchain Technology,Public Relations - Essentials,B.A Mass Communication (Honours),Manipal University,PMKVY - Communication Skills
740,Neuroscience,Brain Research,M.Sc Neuroscience (Honours),NIMHANS Bangalore,Microsoft Learn - Neuroscience
741,Urban Planning,Development Economics,M.A Economics (Honours),JNU Delhi,Simplilearn - Indian Economy
742,Masonry,Employment Law - Intermediate,PG Diploma Labor Law,University of Hyderabad,Coursera - Industrial Relations
743,Microbiology,Community Development,BSW,Tata Institute of Social Sciences,NPTEL - Social Work
744,Teaching,Data Analytics - Basics,B.Sc Data Science,BITS Pilani,PMKVY - Data Analytics Training
745,Screenwriting,Intro to Network Penetration,Advanced Diploma Cybersecurity (Honours),Madras Christian College,PMKVY - Cybersecurity Training (Certificate)
746,Reflexology,Radio Programming - Intermediate,Diploma Radio - Specialization,Indian Institute of Mass Communication (Dept. of CS),NPTEL - Radio Broadcasting
747,Civil Engineering,Applied Construction Management,B.Tech Civil (Honours),IIT Madras (Dept. of CS),Google - Construction Planning
748,Retail Management,Visual Merchandising - Basics,MBA Retail,NIFT Delhi,PMKVY - Retail Sales Associate
749,Geology,Nanomaterials,M.Tech Nanotechnology,IIT Bombay,NPTEL - Nanotechnology
750,Chess Training,Wildlife Photography - Basics,Certificate Photography - Specialization,National Geographic India (Dept. of CS),Simplilearn - WWF Photography Workshop
751,Civil Engineering,Logic,M.A Philosophy,IIT Kharagpur,SWAYAM - Indian Philosophy
752,Linguistics,Practical Goalkeeping,Certificate Football Coaching (Honours),Sports Authority of India,Coursera - Football Coach
753,Mass Communication,Digital Media,M.A Mass Communication,Symbiosis Pune (Dept. of CS),Google - Digital Marketing
754,Data Science,Data Analysis,M.Sc Data Science - Specialization,BITS Pilani,Simplilearn - Data Analysis Specialization
755,Special Education,Studio Operations,Diploma TV Production,Asian Academy of Film,NSDC - TV Production
756,Welding,Theoretical Physics - Essentials,B.Sc Physics,IIT Bombay,NPTEL - Physics
757,Forestry,Forest Management - Professional,M.Sc Forestry,Indian Institute of Forest Management,Coursera - Environmental Studies
758,Augmented Reality,Stem Cell Research,M.Tech Medical Biotech - Specialization,Anna University,NPTEL - Medical Biotechnology
759,Video Editing,YouTube Content,Certificate Video Editing - Specialization,Arena Animation,Adobe Premiere Pro Training
760,Special Education,Cryptocurrency + Football Training,M.Tech Blockchain - Specialization,BITS Pilani,Google - Blockchain Specialization
761,Martial Arts,Karate Training,Black Belt Karate,Karate Federation of India,NSDC - Martial Arts Instructor
762,Materials Science,Visual Merchandising,MBA Retail - Specialization,NIFT Delhi,Microsoft Learn - Retail Sales Associate
763,Graphic Design,Digital Illustration,B.Des Graphic Design,NID Ahmedabad,Coursera - Design Thinking
764,Mathematics,Concepts of Museum Studies,M.A History - Specialization,SRM Institute,NPTEL - ASI Training Programs
765,Software Development,Cloud Computing,Diploma in AI & ML - Specialization,Punjab Agricultural University,Udemy - Cloud Computing Specialization
766,Embedded Systems,Machine Learning,M.Sc Data Science,Drone Destination,edX - Machine Learning Specialization
767,Geology,Petroleum Geology,M.Sc Geology (Honours),IIT Roorkee,Simplilearn - ONGC Training Programs
768,Fitness Training,Community Development,BSW - Specialization,Tata Institute of Social Sciences,Udemy - Social Work
769,Nursing,Textile Design - Basics,M.Des Fashion Design (Honours),Pearl Academy,edX - Apparel Training
770,Interior Design,Composite Materials + Brand Messaging,PhD Materials Engineering,IISc Bangalore,SWAYAM - Material Engineering (Certificate)
771,Environmental Law,Criminal Psychology,M.A Criminology,TISS Mumbai,NPTEL - Criminology (Certificate)
772,Palmistry,Career Prediction - Intermediate,Workshop Palmistry,Vedic Learning Centers,NPTEL - Alternative Career Guidance
773,Acupuncture,Pain Management,Certificate Acupuncture,All India Institute of Ayurveda (Dept. of CS),Simplilearn - Wellness Therapy
774,Dance,Classical Dance,Diploma Bharatanatyam - Specialization,Kalakshetra Chennai,Sangeet Natak Akademi
775,Event Management,Actuarial Science,M.Sc Actuarial Science,Institute of Actuaries India,edX - Insurance Skills
776,Literature,CI/CD Pipeline,B.Tech IT,Manipal Institute of Technology,Simplilearn - DevOps Training
777,Siddha Medicine,Hands-on Fitness Training,M.P.Ed,Punjabi University Patiala,Microsoft Learn - Fitness Trainer
778,Journalism,Visual Effects,M.Sc Animation,Framebotics Academy,PMKVY - Animation Training
779,Environmental Engineering,Waste Management,B.Tech Environmental,Delhi Technological University,edX - Environmental Science
780,Leather Work,Footwear Making - Essentials,Diploma Leather Technology (Honours),FDDI Noida,NSDC - Footwear Skills
